Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Trade Show & Conference,"Print, Packaging, Graphics",FachPack,24 Sep 2019-26 Sep 2019,09:00 AM - 06:00 PM (24 Sep 2019-25 Sep 2019)|09:00 AM - 05:00 PM (26 Sep 2019),25-27 Sep 2018,20-Sep,Germany,Nuremberg,Exhibition Centre,44019,1644,https://www.fachpack.de/en,+49 9 11 86 06-49 79,,"European Trade Fair for Packaging, Processing and Technology With new trends, new perspectives, and new opportunities, the European packaging sector is brimming with diversity and dynamism  and FachPack showcases all the highlights and defines the main areas of focus. It offers an outstanding spectrum of products for packaging, packaging machines, and packaging processes, and an impressive complexity in packaging and labelling technology, intralogistics and packaging logistics, packaging materials, PrintPack, package printing and finishing. https://www.fachpack.de/en","A.M.P.E.R.E. Deutschland GmbH ,EBS Ink Jet Systeme GmbH ,KAPAG Karton + Papier AG ,Karl Verpackungen GmbH ,C.Schrter GmbH & Co KG ,Geissmann Verpackungen ,Oehler Verpackung GmbH ,koplast GmbH ,Scke Hinrichs GmbH ,Salzer Papier / Salzer Formtech ,Hahn Polyfilms GmbH ,Michael Hrauf GmbH & Co. KG ,holac Maschinenbau GmbH ,Naturapack GmbH ,Nette Papier GmbH ,Can Packaging ,Taghleef Industries GmbH ,karopack Kreiter GmbH ,MAC Autoadesivi ,Mrkische Etiketten GmbH",Eligibility Criteria: Open to industry professionals and trade visitors Fees: 1-day ticket - 48 Permanent ticket - 52,Sponsorship Fees: Packages vary between 75 - 22.900 Exhibitor Fees: 9 sq m Booth Space - 2.124 Custom plans available Contact required for further information,https://www.fachpack.de/en/news/photos,https://www.fachpack.de/en/news/videos,https://www.facebook.com/events/356441328477261/,,https://www.linkedin.com/feed/hashtag/fachpack/,https://twitter.com/FachPack,,
Conference,"Print, Packaging, Graphics",E-Pack Summit US,29 Oct 2019-30 Oct 2019,08:25 AM - 05:30 PM (29 Oct 2019)|08:25 AM - 12:30 PM (30 Oct 2019),18-19 Sep 2018,Sep-Oct 2020,USA,Bellevue,Hyatt Bellevue,,,https://www.ecommercepacksummit.com/usa,+1 330 762 7441,ksharp@smithers.com,"Explore the Latest Trends in Packaging for E-Commerce The E-Pack US series, now in its second year, is the industrys go-to for the freshest presentation content, real-time case studies from industry front-runners, and solutions showcased in a way that gives you all the information you need throughout the 2 day program, to make an informed packaging decision, and continue to develop your own successful e-commerce strategy. https://www.ecommercepacksummit.com/usa",,Eligibility Criteria: Open to industry professionals Fees: E-Pack US 2019 Conference Super Early Bird - $1.099 Early Bird - $1.199 Standard - $1.399 Final Fee - $1.499 E-Pack US 2019 Conference + Workshop Super Early Bird - $1.449 Early Bird - $1.549 Standard - $1.749 Final Fee - $1.849,Sponsorship and exhibition opportunities available Contact required for further information Sponsor/Exhibitor Registration,,,,,https://www.linkedin.com/company/29415,https://twitter.com/ecommercepack,,
Conference,"Print, Packaging, Graphics",E-Pack Summit Europe,28 Apr 2020-30 Apr 2020,08:45 AM - 06:00 PM,25-27 Mar 2019,Mar-Apr 2021,Netherlands ,Amsterdam,TBD,,,https://www.ecommercepacksummit.com/europe,+44 1372 802038,sprack@smithers.com,"Looking at Packaging for E-Commerce E-PACK Europe 2020 will cover the full landscape of the evolving e-commerce packaging market. The annual cross industry conference provides a platform to discuss technical challenges for the e-commerce packaging industry in terms of functional designs and protection, innovative and cost effective packaging solutions, new business opportunities, case studies from leading brands & retailers, advancements in materials and technology and more. https://www.ecommercepacksummit.com/europe/about-e-pack-europe",,Eligibility Criteria: Open to industry professionals Fees: E-PACK Europe 2020 (2 day conference) Super Early Bird - 949 Early Bird - 1.049 Standard Rate - 1.199 Final Rate - 1.299,Sponsorship and exhibition opportunities available Contact required for further information Sponsor/Exhibitor Registration,https://www.ecommercepacksummit.com/europe/photo-gallery,https://www.ecommercepacksummit.com/europe/video-higlights,,,https://www.linkedin.com/company/29415,https://twitter.com/ecommercepack,,
Conference,"Print, Packaging, Graphics",International Conference on Graphene & 3D Printing Technology,4 Nov 2019-5 Nov 2019,08:30 AM - 06:30 PM (4 Nov 2019)|09:00 AM - 06:30 PM (5 Nov 2019),,20-Nov,Singapore,,TBD,,,,https://www.grapheneconferences.org,register@infoconferences.com,"The Striking Trends in Next-Gen with Miracle Material Graphene 2019 will be a World's best platform for all Scientists, students, research scholars and other professionals to encourage and seek the best referred Graphene & 3D Printing Technology to infer and strategize novel methodologies in the scope of Graphene & 3D Printing. The main theme of the conference is ""The Striking trends in Next-Gen with Miracle Materials"". https://www.grapheneconferences.org/",,"Eligibility Criteria: Open to industry professionals Fees: Academic Registration -$599 (On/before 31 Aug 19), $699 (20 Sep 19), $799 (4 Nov 19) Package A - $999, $1.099, $1.199 Package B - $1.199, $1.299, $1.399 Delegate Registration - $449, $549, $649 Business Registration - $699, $799, $899 Package A - $1.099, $1.199, $1.299 Package B - $1.299, $1.399, $1.499 Delegate Registration - $549, $649, $749 Student Registration - $240, $299, $340 Young Research Forum - $349, $449, $549 E-poster - $99 Accompany Person - $249 Poster Presentation - $110",,,,https://www.facebook.com/Innovation-Info-1878053119090541/,,https://www.linkedin.com/company/innovationinfo/,https://twitter.com/Abraham17355718,,
Trade Show & Conference,"Print, Packaging, Graphics",Flexographic Technical Association Fall Conference,28 Oct 2019-30 Oct 2019,01:30 PM - 06:30 PM (28 Oct 2019)|08:30 AM - 07:00 PM (29 Oct 2019)|08:30 AM - 11:45 AM (30 Oct 2019),29-31 Oct 2018,20-Oct,USA,Charlotte,Sheraton Charlotte Hotel,,,https://www.flexography.org/conferences-events/fall-conference/schedule-at-a-glance/,+1 631 737 6020,,"Time is Money Hear top industry experts walk step-by-step through a flexo-printed, project-driven conference program. Meet students representing tomorrows industry leaders from Clemson University and Central Piedmont Community College. See the latest innovations in label, flexible packaging, premedia, digital printing, finishing equipment and hybrid technology at the Tabletop Exhibit. https://www.flexography.org/conferences-events/fall-conference/","Grafikontrol North America ,Eaglewood Technologies LLC ,Daetwyler Corp ,Koenig & Bauer-Flexotechnica ,Retroflex Inc ,Windmoller & Holsher Corp ,Paper Converting Machine Co (PCMC) ,HYBRID Software Inc ,Interflex Laser Engravers ,Flint Group ,Rossini North America LLC ,CleanPlanet Chemical ,ACTEGA North America ,Erhardt+Leimer ,BST North America Inc ,Polymag Tek ,Vetaphone North America ,Pamarco ,Kodak Flexcel Solutions/Miraclon ,Interflex Laser Engravers",Eligibility Criteria: Open to industry professionals Fees: Members General (exhibiting company) - $450 General (non-exhibiting company) - $850 Printer/Converter - $295 Non-members General (non-exhibiting company) - $1.700 Printer/Converter - $590,Sponsorship Fees: No information Exhibitor Fees: Contact required for further information,,,,https://www.instagram.com/flextechassn/,https://www.linkedin.com/company/flexographic-technical-association/about/,https://twitter.com/flextechassn,,
Conference,"Print, Packaging, Graphics",Print+Promo Distributor,4 Nov 2019-6 Nov 2019,09:00 AM - 06:00 PM,7-9 Nov 2019,20-Nov,USA,Scottsdale,Hyatt Regency Mission Bay,,,https://connect.goprintandpromo.com/,+1 215 238 5434,mcooper@napco.com,"Results Driven Buyer Events for A-List Distributors and Suppliers Created for the industrys elite, Distributor Connect Meetings are exclusive relationship-building events. The conference format features pre-scheduled, one-on-one sessions between distributors and suppliers. Each meeting session is held in an exclusive supplier suite, securing privacy and improving business opportunities. https://connect.goprintandpromo.com/about",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,,https://connect.goprintandpromo.com/photos/,,http://www.facebook.com/GoPrintAndPromo,,,https://www.twitter.com/goprintandpromo,,
Conference,"Print, Packaging, Graphics",Advanced Packaging Conference,12 Nov 2019-13 Nov 2019,12:00 PM - 06:10 PM (12 Nov 2019)|09:00 AM - 01:45 PM (13 Nov 2019),,20-Nov,Germany,Munich,ICM Munich,,,https://www.semiconeuropa.org/advanced-packaging-conference-apc,,,"Packaging & Test - Challenges Towards High Reliability Wafer-Level Chip-Scale Packaging, Fan-Out Wafer-Level Packaging, Heterogenous Integration, System-in-Package and 3D Packaging are all areas of research maturing into mass production capable offerings. In order to enable this IDM, OSATs and foundries are developing business models to enable faster time-to-market (low cost) packages and the continuous improvement of those packages is a critical research area. At this years Advanced Packaging Conference, we want to present the latest advancements and innovations in this field. https://www.semiconeuropa.org/advanced-packaging-conference-apc",,Eligibility Criteria: Open to industry professionals Fees: Conference Ticket Members - 435 Non-members - 545 Onsite - 590 Students - 80 Day Ticket Members - 495 Non-members - 645 Onsite - 715 Students - 80,,,,,,https://www.linkedin.com/company/semi/,https://twitter.com/SEMIconex,,
Conference,"Print, Packaging, Graphics",Sustainability in Packaging Europe,12 Nov 2019-14 Nov 2019,09:00 AM - 05:00 PM (12 Nov 2019)|08:30 AM - 06:30 PM (13 Nov 2019)|08:10 AM - 04:10 PM (14 Nov 2019),29-31 Oct 2018,Oct-Nov 2020,Spain,Barcelona,Hotel Hesperia Tower,300,30,https://www.sustainability-in-packaging.com,+44 1372 80 2255,ckeene@smithers.com,"Join the New Global Community of Packaging Professionals With over 300 attendees at the 2018 conference, reponse was overwhelming and the event was a sell out! Don't miss out on the opportunity to network, discover new solutions and create lasting partnerships with industry peers all in one place. https://www.sustainability-in-packaging.com/about-the-event","HP ,Total ,APEAL ,UPM Specialty Papers ,Carbon Trust ,KOCH Pac-Systeme GmbH ,INDEVCO Group ,Borealis ,IMA Group ,Polysack Flexible Packaging ,YUPO Europe GmbH ,Aquapak ,WestRock ,Avery Dennison ,SCG Chemicals ,Food Contact Center ,Mayr-Melnhof Karton ,Heidelberger Druckmaschinen AG ,SUEZ ,KOCH Pac-Systeme GmbH",Eligibility Criteria: Open to industry professionals Fees: 2 Day Conference Only Ticket Standard Rate (Ends 11 Oct 2019) - 1.249 Final Fee (Until Event Date) - 1.349 2 Day Conference Only Ticket + Bio-Based Masterclass Standard Rate (Ends 11 Oct 2019) - 1.628 Final Fee (Until Event Date) - 1.728 2 Day Conference Only Ticket + EPR Workshop Standard Rate (Ends 11 Oct 2019) - 1.628 Final Fee (Until Event Date) - 1.728 2 Day Conference Only Ticket + Bio-Based Masterclass & EPR Workshop Standard Rate (Ends 11 Oct 2019) - 1.907 Final Fee (Until Event Date) - 2.007,Sponsorship and exhibition opportunities available Contact required for further information Sponsor/Exhibitor Registration,https://www.sustainability-in-packaging.com/about-the-event/photos,,,,https://www.linkedin.com/groups/3389102,https://twitter.com/sustainpack,,
Conference,"Print, Packaging, Graphics",SmartPack US,11 Sep 2019-12 Sep 2019,08:20 AM - 06:00 PM (11 Sep 2019)|08:10 AM - 12:30 PM (12 Sep 2019),,20-Sep,USA,San Diego,Marriott La Jolla,,,https://www.smartpackus.com/,+1 330 762 7441,sford@smithers.com,"Sessions All Jam-Packed with the Industry's Leaders and Experts In its inaugural year, SmartPack taking place September 11  12 in San Diego, CA - will be the first industry driven conference focused on collaboration and innovation to accelerate the commercial adoption of intelligent packaging. Over the course of two days, the entire packaging value chain will come together to discuss key innovations, industry growth and application advancements for manufacturers, retailers, brand owners and CPGs. https://www.smartpackus.com/overview/aboutsmartpack",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,,,,https://www.linkedin.com/company/29415,http://www.twitter.com/smitherspira,,
Conference,"Print, Packaging, Graphics",Specialty Papers US,30 Sep 2019-2 Oct 2019,01:00 PM - 04:30 PM (30 Sep 2019),1-3 Oct 2018,Sep-Oct 2020,USA,Milwaukee,The Pfister Hotel,200,,https://www.specialtypaperconference.com/united-states,+1 330 762 7441 Ext. 1139,clowenfeld@smithers.com,"The Premier Event in North America Dedicated to the Specialty Papers Industry Specialty Papers US is bringing together more than 200 key decision makers, industry experts and end users, all in one room. Join and learn about the latest updates in the specialty papers market, trends and new technologies, innovation, sustainability, trends in food packaging, and more. https://www.specialtypaperconference.com/united-states",,Eligibility Criteria: Open to industry professionals Fees: Conference Only Price Super Early Bird - $999 Early Bird - $1.199 Standard - $1.399 Final Fee - $1.499 Conference Plus Workshop Price Super Early Bird - $1.398 Early Bird - $1.598 Standard - $1.798 Final Fee - $1.898,Sponsorship opportunities available Contact required for further information Sponsorship Registration,,,,,https://www.linkedin.com/company/29415,https://twitter.com/smitherspira,,
Conference,"Print, Packaging, Graphics",Specialty Papers Europe,20 Apr 2020-22 Apr 2020,08:40 AM - 06:00 PM,9-10 Apr 2019,21-Apr,Austria,Vienna,Austria Trend Hotel Savoyen Vienna,250,,https://www.specialtypaperconference.com/europe,+44 1372 802019,rwilkinson@smithers.com,"The Ideal Opportunity to Get in Front of Those that Matter Most Specialty Papers Europe 2019 brought together over 250 key industry experts from across the paper supply chain to hear about the latest updates on advancements and trends affecting the industry and to share knowledge and ideas. Attendees include represtatives from Costa Coffee, Barilla, Nestle, Clariant, BASF, Michelman and many more. https://www.specialtypaperconference.com/europe",,Eligibility Criteria: Open to industry professionals Fees: Specialty Papers Europe 2019 (2 day conference only) Super Early Bird - 1.049 + VAT Early Bird - 1.179 + VAT Standard - 1.299 + VAT Final Fee - 1.399 + VAT,Sponsorship opportunities available Contact required for further information Sponsorship Registration,https://www.specialtypaperconference.com/europe/photo-gallery,https://www.specialtypaperconference.com/europe/2018-video,,,https://www.linkedin.com/company/29415,https://twitter.com/smitherspira,,
Conference,"Print, Packaging, Graphics",Digital Print for Packaging Europe,2 Dec 2019-4 Dec 2019,01:30 PM - 05:30 PM (2 Dec 2019)|08:50 AM - 06:15 PM (3 Dec 2019)|08:30 AM - 04:15 PM (4 Dec 2019),4-6 Dec 2018,20-Dec,Germany,Berlin,Meli Berlin,230,,https://www.printfutures.com/europe/about-dpp-europe,+1 330 762 7441,sford@smithers.com,"Europe's Premier Conference Dedicated to Digital Print for Packaging Digital Print for Packaging Europe is Europe's premier conference dedicated to digital print for packaging. This event covers all hot topics from direct-to-shape, corrugated printing, workflows, the latest market trends and technology updates, as well as case studies from leading brand owners and converters. https://www.printfutures.com/europe/about-dpp-europe","Clariant ,Global Inkjet Systems ,Kodak ,Kao Collins ,Koenig & Bauer ,Komori ,Memjet ,Polytype ,Heidelberg Digital Unit ,Berberan ,Fujifilm",Eligibility Criteria: Open to industry professionals Fees: Digital Print for Packaging Europe (2 day conference) Early Bird - 1.199 Standard - 1.349 Final Rate - 1.449 Digital Print for Packaging Europe (2 day conference and pre-conference workshop) Early Bird - 1.698 Standard - 1.848 Final Rate - 1.948,Sponsorship opportunities available Contact required for further information Sponsor/Exhibitor Registration,https://www.printfutures.com/europe/photo-gallery,,,,https://www.linkedin.com/groups?home=&gid=7466820&trk=anet_ug_hm,https://twitter.com/DigitalPrintPac,,
Conference,"Print, Packaging, Graphics",Digital Print for Packaging US,4 Jun 2019-5 Jun 2019,09:30 AM - 06:15 PM (4 Jun 2019),4-6 Jun 2018,20-Jun,USA,Florida,Disney's Coronado Springs Resort,200,,https://www.printfutures.com/us-event,+44 1372 802037,adevereux@smithers.com,"Premier Conference Dedicated to Digital Print for Packaging Digital Print for Packaging US 2019 featured some of the top experts in digital print and packaging industry, sharing how brand owners, converters, printing equipment suppliers and packaging designers, can capitalize on what is really happening in the digital print for packaging sector. https://www.printfutures.com/us-event","Clariant ,Global Inkjet Systems ,Kodak ,Kao Collins ,Adphos North America Inc. ,EFI ,Memjet ,Hummingbird ,Tilia Labs ,Domino ,Cloudlab ,Heidelberg ,Bobst ,SGIA",Eligibility Criteria: Open to industry professionals Fees: Free,Sponsorship opportunities available Contact required for further information Sponsor/Exhibitor Registration,,,,,https://www.linkedin.com/groups?home=&gid=7466820&trk=anet_ug_hm,https://twitter.com/DigitalPrintPac,,
Conference,"Print, Packaging, Graphics",Multilayer Flexible Packaging Conference Europe,18 Nov 2019-20 Nov 2019,09:00 AM - 08:00 PM (19 Nov 2019)|09:00 AM - 05:40 PM (20 Nov 2019),19-21 Nov 2018,20-Nov,Austria,Vienna,Austria Trend Hotel Savoyen Vienna,170,,https://www.ami.international/events/event?Code=C0997,+44 117 314 8111,jasmine.coles@ami.international,"Annual Update on the Global Flexible Packaging Industry Multilayer Flexible Packaging 2019 ?provides a unique opportunity to hear from a panel of international experts on the latest trends, technologies and innovations in raw materials to end use applications. The conference brings together companies from across the flexible packaging value chain, from raw materials to retailers, and offers a dynamic forum to debate and exchange ideas with industry peers and potential customers. https://www.ami.international/events/event?Code=C0997",,Eligibility Criteria: Open to industry professionals Fees: Pre-programme price - 1.040 +VAT (until 10th May 2019) Early Booking price - 1.140 +VAT (until 13th September 2019) Full price - 1340 +VAT,Sponsorship Fees: Contact required for further information Exhibitor Fees: Pre-programme package - 2.325 + VAT (until ?10th May 2019) Full package - ?2.575 + VAT,,,https://www.facebook.com/AMI.Events.Research/,,https://www.linkedin.com/company/contact_ami/,https://twitter.com/contact_ami,,
Conference,"Print, Packaging, Graphics",Multilayer Flexible Packaging Conference USA,25 Jun 2019-26 Jun 2019,09:00 AM - 06:00 PM,10-11 Apr 2018,TBD,USA,Chicago,Chicago Marriott O'Hare,,,https://www.ami.international/events/event?Code=C0984,+1 610 478 0800,stephanie.hume@ami.international,"New Standards for Flexible Packaging Excellence Multilayer Flexible Packaging 2019 gave a fantastic opportunity to network with users and producers of flexible packaging and gain a comprehensive overview of the key material, technology and business trends shaping the design and use of flexible packaging in North America today. https://www.ami.international/events/event?Code=C0984",,Eligibility Criteria: Open to industry professionals Fees: Contact required for further information Atttendee Registration,,https://www.ami.international/events/event?Code=C0984#10898,,https://www.facebook.com/AMI.Events.Research/,,https://www.linkedin.com/company/contact_ami/,https://twitter.com/contact_ami,,
Conference,"Print, Packaging, Graphics",Digital Print for Brand Success Conference,21 Nov 2019,09:30 AM - 04:30 PM,4-Dec-18,Nov-Dec 2020,United Kingdom,London,IET London: Savoy Place,,,https://www.digitalbrandconf.com/,+44 1892 779599,chloe.w@whitmar.co.uk,"From innovation to implementation: debating the true potential of digital With its great mix of brand owners, retailers, designers and leading printers, the Digital Print for Brand Success conference never fails to elicit lively debate amongst the delegates. Each year, topical issues and trends are discussed by expert speakers and panellists with the aim of driving the understanding of digital print technology forwards. https://www.digitalbrandconf.com/why-attend/",,Eligibility Criteria: Open to industry professionals Fees: One delegate - 350 + VAT Two delegates - 450 + VAT (225 + VAT per delegate) Three delegates - 800 + VAT (266.66 + VAT per delegate) Four delegates - 900 + VAT (225 + VAT per delegate) Five delegates - 1250 + VAT (250 + VAT per delegate),Sponsorship opportunities available,https://www.digitalbrandconf.com/gallery/,,,,,,,
Conference,"Print, Packaging, Graphics",Reconnaissance High Security Printing Asia,25 Nov 2019-27 Nov 2019,09:00 AM - 05:00 PM,3-5 Dec 2018,Nov-Dec 2020,Japan,Yokohama,InterContinental Yokohama Grand Hotel,300,30,https://www.reconnaissance.net/hsp-asia/,+44 1932 785 680,events@reconnaissance-intl.com,"The Regional Forum for Secure Document Technologies High Security Printing Asia focuses on government-specified and issued documents, including currency, fiduciary documents, excise stamps, ID cards, e-passports, visas, vehicle documents and licences, with a particular emphasis on banknotes and the emerging technologies for ID and travel documents. As in previous events, speakers will be specialists in their field providing technical presentations, including some regional case studies. https://www.reconnaissance.net/hsp-asia/about/","Andrews & Wykeham ,Gietz ,Hunkeler Systeme AG ,IXLA ,Paul Leiberger ,Petrel ,Security Fibres UK ,SEILER Systems Technology ,SURYS ,WTG Water Treatment GmbH ,ZEISER","Eligibility Criteria: Open to industry professionals Fees: Delegate Fees Early Booking (ends 27 Sep) - $2.685 Standard Booking (after 27 Sep) - $2.985 Regional Discounts Early Booking (ends 27 Sep) - $1.730 (Regional delegate), $880 (State enterprise delegate) Standard Booking (after 27 Sep) - $1.920 (Regional delegate), $975 (State enterprise delegate)",Sponsorship Fees: Packages vary between $10.500 - $19.000 Exhibitor Fees: Standard Booth (3m x 2m) Early Booking (ends 27 Sep) - $6.070 Standard Booking (after 27 Sep) - $6.745 Mini Booth (2m x 1m) Early Booking (ends 27 Sep) - $3.740 Standard Booking (after 27 Sep) - $4.155 Sponsor/Exhibitor Registration,,https://vimeo.com/310309901,,,https://www.linkedin.com/groups/4771165,https://twitter.com/hashtag/hspconf?src=hash,,
Conference,"Print, Packaging, Graphics",Packaging 360,28 Nov 2019-29 Nov 2019,09:00 AM - 05:00 PM,,20-Nov,Germany,Frankfurt am Main,Hilton City Centre,,,https://www.packaging-360.com/events/,+49 69 7595 2563,boussaa@packaging-360.com,"Innovative. Competently. Interactive. On November 28th and 29th, 2019 , the top decision-makers from the packaging industry will meet for the second time in Frankfurt. Participants will receive a comprehensive, forward-looking and neutral overview of trends in the FMCG industry and commerce, as well as the digitalization strategies of leading companies. Further key topics of the industry meeting are sustainability, resource conservation, brand success and new consumer wishes. https://www.packaging-360.com/events/",,Eligibility Criteria: Open to industry professionals Fees: Special price for visitors of the FachPack from the FMCG industry (until 15.10.2019) - 699 Early bird price for participants from trade and FMCG industry (until 30.09.2019) - 799 Early bird price for all other participants (until 30.09.2019) - 899 Regular price for participants from the trade and FMCG industry (from 01.10.2019) - 899 Regular price for all other participants (from 01.10.2019) - 999,Sponsorship opportunities available,,,https://www.packaging-360.com/events/,,https://www.linkedin.com/company/packaging-360-grad/,https://www.packaging-360.com/events/,,
Trade Show & Conference,"Print, Packaging, Graphics",Graphics of the Americas,27 Feb 2020-29 Feb 2020,10:00 AM - 05:00 PM (27 Feb 2020-28 Feb 2020)|10:00 AM - 04:00 PM (29 Feb 2020),22-24 Feb 2018,21-Feb,USA,Miami Beach,Miami Beach Convention Center,9765,230,https://www.goaexpo.com,,info@goaexpo.com,"A Unique Event that Attracts Printers, Designers, and Graphics Communication Professionals For 2020, the Specialty Graphic Imaging Association (SGIA), the Florida Graphics Alliance (FGA) and Conlatingraf, the confederation of Latin American printing associations, have teamed up on GOA, creating a program and exposition by and for the Latin American and Caribbean market. The alliance ushers in a new era for GOA even as the show returns to the Miami Beach Convention Center. https://www.goaexpo.com/about","Ihara U.S., Inc ,Jackson Marking Products ,Florida Graphics Alliance ,Celestik Inc. (Oracle Paper Group) ,Modico US Corp. ,One Step Papers, LLC ,Roberts Graphics Ltd. ,Sakurai USA, Inc. ,SGIA ,Stuebing Automatic Machine ,TyrrellTech ,Beta Industries ,MultiCam, Inc. ,Benford UV ,A-Plus Printing ,Soardist Display ,Tape Technologies, Inc ,YUL Technologies Ltd ,Sublimation 101 ,Printers Repair Parts",Eligibility Criteria: Open to industry professionals Fees: Contact required for further information,Sponsorship Fees: Packages vary between Exhibitor Fees: 100  199 sq ft - $24/sq ft 200  399 sq ft - $22/sq ft Over 400 sq ft - $20/sq ft,,,,,,,,
Trade Show,"Print, Packaging, Graphics",South China International Exhibition on Printing Industry,4 Mar 2020-6 Mar 2020,09:00 AM - 06:00 PM,4-6 Mar 2019,20-Mar,China,Guangzhou,China Import & Export Fair Complex,85000,1500,https://www.printingsouthchina.com/PRT20/idx/eng/home,+852 2516 3371,pfp@adsale.com.hk,"Smart Packaging Printing for the Future With 27-year sound track record, Printing South China 2020 once again join forces with [Sino-Label] , [Sino-Pack] and [PACK-INNO] to cover the whole industry of printing, packaging, labelling and packing products, building a resourceful one-stop business platform for the industry. https://www.printingsouthchina.com/PRT20/showhighlight/eng/show_highlight",,Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship and exhibition opportunities available Contact required for further information,https://www.printingsouthchina.com/PRT20/showreview/eng/show_videos_%7cn%7c_photos,https://www.printingsouthchina.com/PRT20/showreview/eng/show_videos_%7cn%7c_photos,https://www.facebook.com/printingsouthchina,,https://www.linkedin.com/showcase/10475637,https://twitter.com/PrintingSChina,,
Trade Show,"Print, Packaging, Graphics",Sino Label,4 Mar 2020-6 Mar 2020,09:30 AM - 05:30 PM,4-6 Mar 2019,20-Mar,China,Guangzhou,China Import & Export Fair Complex,26092,312,https://www.sinolabelexpo.com/LAB20/idx/eng,+852 2516 3371,plp@adsale.com.hk,"China's One-Stop Printing and Labeling Expo Based in Guangzhou and capitalizing South China's strengths in label printing, the China International Exhibition on Label Printing Technology (also known as ""Sino-Label"") has established itself as a remarkable and influential international exhibition with steady growth every year. Exhibitors and visitors have praised Sino-label on its comprehensive scope, quality of products, the show's effectiveness as a business platform and services. https://www.sinolabelexpo.com/LAB20/showhighlight/eng/show_highlight","Dewell Machine Company ,Cooluv Technology Inc. ,Epson Co. Ltd. ,Gold Fai Machinery Ltd. ,Jelight Company Inc. ,Luster Lighttech Group Co. Ltd. ,Dowell Printing Equipment Co. Ltd. ,Bytech Electronics Co. Ltd. ,Antac Label Material Co. Ltd. ,Inkstar Office Appliance Factory of Tianjin ,Ada Intelligent Equipment Co. Ltd. ,Printop ,Process Sensors Corporation ,Sevenace Group Company Limited ,Taiyo Kikai Co. Ltd. ,Vorey Technology Co. Ltd. ,Wenzhou Daba Machinery Co. Ltd. ,Tamper Guard ,Bengraphic Printing Equipment ,Beijing Sino-Mv Technologies Co. Ltd.",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship and exhibition opportunities available Contact required for further information,https://www.sinolabelexpo.com/LAB20/showreview/eng/show_videos_%7cn%7c_photos,https://www.sinolabelexpo.com/LAB20/showreview/eng/show_videos_%7cn%7c_photos,https://www.facebook.com/sinolabel,,https://www.linkedin.com/company/10475649,https://twitter.com/SinoLabel,,
Trade Show,"Print, Packaging, Graphics",Sino-Pack,4 Mar 2020-6 Mar 2020,09:30 AM - 05:30 PM,4-6 Mar 2019,20-Mar,China,Guangzhou,China Import & Export Fair Complex,85000,1500,https://www.chinasinopack.com/GPAC20/idx/eng,+852 2516 3510,printpack.hkpr@adsale.com.hk,"Leading and Professional Packaging Trade Platform The exhibitions continue to create an all-round display platform for the entire packaging industry chain. Six zones are featured this year, they are Smart Packaging + Smart Logistics, Food Packaging, Liquid Packaging, General Packaging, Coding & Marking and Packaging Products & Materials, covering multiple end-use spectrums like food, food processing, catering, beverage/dairy products/alcohols, daily chemicals, pharmaceutical/health care products, home appliance/3C, express delivery, e-commerce, automobile, etc. https://www.chinasinopack.com/GPAC20/showinfo/eng/exhibition_introduction","Bergtec ,Bohui ,Clevertech SPA ,Chinaplas 2019 ,European Pallet Association ,Focus Machinery Co. Ltd. ,GDPIA ,Guangzhou Laisai Equipment ,Haihang Machinery Co. Ltd. ,Hiwin Technologies Corp. ,Jasbos Asia Ltd. ,Lintao ,Macsa ID ,Megawin Best Ow Group ,Promach China Ltd. ,Rayman Detection Co. Ltd. ,Ronchi Mario S.P.A. ,Suit Pack Co. LTd. ,Tosa S.P.A ,Vogel Business Media",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship and exhibition opportunities available Contact required for further information,https://www.chinasinopack.com/GPAC20/showalbum/eng/2019_show_video_%7cn%7c_photos,https://www.chinasinopack.com/GPAC20/showalbum/eng/2019_show_video_%7cn%7c_photos,https://www.facebook.com/sinopack,,https://www.linkedin.com/company/10478320,https://twitter.com/SinoPack1,,
